e,an,bnd1,ang1,cmdt1,cmdb1,cmod1,cmevs1,cmevl1,bnd2,cmdt2,cmdb2,cmod2,cmevs2,cmevl2,bnd3,cmdt3,cmdb3,cmod3,cmevs3,cmevlbnd3,bnd4,cmdt3,cmdb3,cmod3,cmevs3,cmevl3
0.5831371,1,1.098,106.5,0.500,36.858,5.464,-0.303,37.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1341765,6,1.102,104.6,36.858,0.500,5.445,-0.298,37.656,1.103,36.858,0.500,5.440,-0.297,37.655,1.508,36.858,36.858,23.873,12.985,60.731,1.537,36.858,36.858,23.422,13.436,60.280
0.5807663,1,1.102,104.6,0.500,36.858,5.445,-0.298,37.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5799046,1,1.103,104.6,0.500,36.858,5.440,-0.297,37.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1342608,6,1.101,104.5,36.858,0.500,5.450,-0.299,37.657,1.103,36.858,0.500,5.440,-0.297,37.655,1.508,36.858,36.858,23.873,12.985,60.731,1.537,36.858,36.858,23.422,13.436,60.280
0.5799059,1,1.103,104.5,0.500,36.858,5.440,-0.297,37.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580766,1,1.101,104.5,0.500,36.858,5.450,-0.299,37.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.11556,6,1.094,106.6,36.858,0.500,5.484,-0.309,37.667,1.342,36.858,36.858,26.826,10.032,63.684,1.508,36.858,36.858,23.873,12.985,60.731,0,0,0,0,0,0
0.5810742,1,1.094,109.5,0.500,36.858,5.484,-0.309,37.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1155027,6,1.094,106.6,36.858,0.500,5.484,-0.309,37.667,1.342,36.858,36.858,26.826,10.032,63.684,1.508,36.858,36.858,23.873,12.985,60.731,0,0,0,0,0,0
0.581076,1,1.094,109.5,0.500,36.858,5.484,-0.309,37.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1248181,6,1.087,116.8,36.858,0.500,5.520,-0.320,37.678,1.089,36.858,0.500,5.510,-0.317,37.675,1.334,36.858,36.858,26.987,9.871,63.845,0,0,0,0,0,0
38.1157068,6,1.093,109.2,36.858,0.500,5.489,-0.311,37.669,1.334,36.858,36.858,26.987,9.871,63.845,1.500,36.858,36.858,24.000,12.858,60.858,0,0,0,0,0,0
0.5819193,1,1.087,116.8,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5828302,1,1.089,116.8,0.500,36.858,5.510,-0.317,37.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5824522,1,1.093,115.6,0.500,36.858,5.489,-0.311,37.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1380935,6,1.097,106.7,36.858,0.500,5.469,-0.305,37.663,1.101,36.858,0.500,5.450,-0.299,37.657,1.500,36.858,36.858,24.000,12.858,60.858,1.538,36.858,36.858,23.407,13.451,60.265
0.5814707,1,1.101,106.7,0.500,36.858,5.450,-0.299,37.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5839188,1,1.097,106.7,0.500,36.858,5.469,-0.305,37.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1439086,6,1.095,107.8,36.858,0.500,5.479,-0.308,37.666,1.096,36.858,0.500,5.474,-0.306,37.664,1.096,36.858,0.500,5.474,-0.306,37.664,1.538,36.858,36.858,23.407,13.451,60.265
0.5849329,1,1.096,107.8,0.500,36.858,5.474,-0.306,37.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5845452,1,1.095,107.8,0.500,36.858,5.479,-0.308,37.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5855987,1,1.096,107.8,0.500,36.858,5.474,-0.306,37.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
